Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,temp_diff,power,torque_per_wear
1,298.1,308.6,1551,42.8,0,0,No Failure,10.5,66382.79999999999,42.8
0,298.2,308.7,1408,46.3,3,0,No Failure,10.5,65190.399999999994,11.575
0,298.1,308.5,1498,49.4,5,0,No Failure,10.399999999999977,74001.2,8.233333333333333
0,298.2,308.6,1433,39.5,7,0,No Failure,10.400000000000034,56603.5,4.9375
0,298.2,308.7,1408,40.0,9,0,No Failure,10.5,56320.0,4.0
1,298.1,308.6,1425,41.9,11,0,No Failure,10.5,59707.5,3.4916666666666667
0,298.1,308.6,1558,42.4,14,0,No Failure,10.5,66059.2,2.8266666666666667
0,298.1,308.6,1527,40.2,16,0,No Failure,10.5,61385.4,2.364705882352941
1,298.3,308.7,1667,28.6,18,0,No Failure,10.399999999999977,47676.200000000004,1.5052631578947369
1,298.5,309.0,1741,28.0,21,0,No Failure,10.5,48748.0,1.2727272727272727
2,298.4,308.9,1782,23.9,24,0,No Failure,10.5,42589.799999999996,0.956
2,298.6,309.1,1423,44.3,29,0,No Failure,10.5,63038.899999999994,1.4766666666666666
1,298.6,309.1,1339,51.1,34,0,No Failure,10.5,68422.90000000001,1.46
1,298.6,309.2,1742,30.0,37,0,No Failure,10.599999999999966,52260.0,0.7894736842105263
0,298.6,309.2,2035,19.6,40,0,No Failure,10.599999999999966,39886.0,0.4780487804878049
0,298.6,309.2,1542,48.4,42,0,No Failure,10.599999999999966,74632.8,1.1255813953488372
1,298.6,309.2,1311,46.6,44,0,No Failure,10.599999999999966,61092.6,1.0355555555555556
1,298.7,309.2,1410,45.6,47,0,No Failure,10.5,64296.0,0.9500000000000001
2,298.8,309.2,1306,54.5,50,0,No Failure,10.399999999999977,71177.0,1.0686274509803921
1,298.9,309.3,1632,32.5,55,0,No Failure,10.400000000000034,53040.0,0.5803571428571429
2,298.9,309.3,1375,42.7,58,0,No Failure,10.400000000000034,58712.50000000001,0.7237288135593221
0,298.8,309.3,1450,44.8,63,0,No Failure,10.5,64959.99999999999,0.7
1,298.9,309.3,1581,30.7,65,0,No Failure,10.400000000000034,48536.7,0.46515151515151515
0,299.0,309.4,1758,25.7,68,0,No Failure,10.399999999999977,45180.6,0.372463768115942
1,299.0,309.4,1561,37.3,70,0,No Failure,10.399999999999977,58225.299999999996,0.5253521126760563
0,299.0,309.5,1861,23.3,73,0,No Failure,10.5,43361.3,0.31486486486486487
0,299.1,309.5,1512,39.0,75,0,No Failure,10.399999999999977,58968.0,0.5131578947368421
2,299.1,309.4,1811,24.6,77,0,No Failure,10.299999999999955,44550.600000000006,0.31538461538461543
0,299.1,309.4,1439,44.2,82,0,No Failure,10.299999999999955,63603.8,0.5325301204819277
0,299.0,309.4,1693,30.1,84,0,No Failure,10.399999999999977,50959.3,0.35411764705882354
1,299.1,309.5,1339,48.2,86,0,No Failure,10.399999999999977,64539.8,0.5540229885057472
0,299.0,309.4,1798,25.5,89,0,No Failure,10.399999999999977,45849.0,0.2833333333333333
0,299.0,309.4,1419,48.3,91,0,No Failure,10.399999999999977,68537.7,0.525
0,298.9,309.3,1665,32.5,93,0,No Failure,10.400000000000034,54112.5,0.34574468085106386
1,298.8,309.1,1559,34.7,95,0,No Failure,10.300000000000011,54097.3,0.3614583333333334
1,298.8,309.2,1452,48.6,98,0,No Failure,10.399999999999977,70567.2,0.4909090909090909
1,298.9,309.2,1581,36.7,101,0,No Failure,10.300000000000011,58022.700000000004,0.3598039215686275
0,298.8,309.1,1439,39.2,104,0,No Failure,10.300000000000011,56408.8,0.37333333333333335
2,298.9,309.2,1379,50.7,106,0,No Failure,10.300000000000011,69915.3,0.4738317757009346
0,298.8,309.1,1350,52.5,111,0,No Failure,10.300000000000011,70875.0,0.46875
0,298.8,309.1,1362,45.4,113,0,No Failure,10.300000000000011,61834.799999999996,0.3982456140350877
0,298.8,309.1,1368,50.8,115,0,No Failure,10.300000000000011,69494.4,0.4379310344827586
1,298.8,309.1,1368,49.1,117,0,No Failure,10.300000000000011,67168.8,0.4161016949152542
2,298.8,309.2,1372,48.5,120,0,No Failure,10.399999999999977,66542.0,0.40082644628099173
1,298.8,309.1,1472,47.5,125,0,No Failure,10.300000000000011,69920.0,0.376984126984127
0,298.8,309.1,1489,49.1,128,0,No Failure,10.300000000000011,73109.90000000001,0.3806201550387597
1,298.7,309.0,1843,25.8,130,0,No Failure,10.300000000000011,47549.4,0.1969465648854962
0,298.8,309.1,1418,46.3,133,0,No Failure,10.300000000000011,65653.4,0.3455223880597015
2,298.8,309.2,1425,53.9,135,0,No Failure,10.399999999999977,76807.5,0.3963235294117647
1,298.9,309.2,1412,44.1,140,0,No Failure,10.300000000000011,62269.200000000004,0.3127659574468085
0,298.9,309.1,2861,4.6,143,1,Power Failure,10.200000000000045,13160.599999999999,0.03194444444444444
0,298.9,309.1,1383,54.9,145,0,No Failure,10.200000000000045,75926.7,0.37602739726027395
2,298.8,309.0,1497,43.8,147,0,No Failure,10.199999999999989,65568.59999999999,0.2959459459459459
0,298.7,309.0,1565,35.1,152,0,No Failure,10.300000000000011,54931.5,0.22941176470588237
0,298.7,309.0,1691,30.1,154,0,No Failure,10.300000000000011,50899.100000000006,0.1941935483870968
0,298.8,309.1,1512,40.7,156,0,No Failure,10.300000000000011,61538.4,0.2592356687898089
0,298.8,309.1,1477,42.4,158,0,No Failure,10.300000000000011,62624.799999999996,0.26666666666666666
0,298.8,309.1,1513,40.3,160,0,No Failure,10.300000000000011,60973.899999999994,0.2503105590062112
